NAME;MODEL;FILE_SIZE;ENCODING_TIME;DECODING_TIME
kitti/Town01_Opt_CloudyNight_4003112047303369508.bin;1452;16461;2;1
kitti/Town01_Opt_CloudyNight_3102013609079846627.bin;1452;8288;1;0
kitti/Town01_Opt_CloudyNight_4046268515483553745.bin;1452;10692;1;0
kitti/Town01_Opt_CloudyNight_16659121947801545226.bin;1452;20132;2;1
kitti/Town01_Opt_CloudyNight_2629961523510558795.bin;1452;9463;1;0
kitti/Town01_Opt_CloudyNight_3988607319449332674.bin;1452;26741;3;1
kitti/Town01_Opt_CloudyNight_3847891468036409013.bin;1452;8627;1;0
kitti/Town01_Opt_CloudyNight_16238796828315910066.bin;1452;13020;2;0
kitti/Town01_Opt_CloudyNight_6027751067207392165.bin;1452;21739;2;1
kitti/Town01_Opt_CloudyNight_17346293778150908569.bin;1452;8713;1;0
