NAME;MODEL;FILE_SIZE;ENCODING_TIME;DECODING_TIME
kitti/Town01_Opt_CloudyNight_4003112047303369508.bin;000;1114235;2;2
kitti/Town01_Opt_CloudyNight_3102013609079846627.bin;000;1007531;1;0
kitti/Town01_Opt_CloudyNight_4046268515483553745.bin;000;1053575;1;0
kitti/Town01_Opt_CloudyNight_16659121947801545226.bin;000;929399;1;0
kitti/Town01_Opt_CloudyNight_2629961523510558795.bin;000;1045907;1;0
kitti/Town01_Opt_CloudyNight_3988607319449332674.bin;000;1047575;1;0
kitti/Town01_Opt_CloudyNight_3847891468036409013.bin;000;1056695;1;0
kitti/Town01_Opt_CloudyNight_16238796828315910066.bin;000;982823;1;0
kitti/Town01_Opt_CloudyNight_6027751067207392165.bin;000;1097771;1;0
kitti/Town01_Opt_CloudyNight_17346293778150908569.bin;000;1130591;1;0
