NAME;MODEL;FILE_SIZE;ENCODING_TIME;DECODING_TIME
kitti/Town01_Opt_CloudyNight_4003112047303369508.bin;1150;56661;10;4
kitti/Town01_Opt_CloudyNight_3102013609079846627.bin;1150;49206;9;3
kitti/Town01_Opt_CloudyNight_4046268515483553745.bin;1150;40585;9;4
kitti/Town01_Opt_CloudyNight_16659121947801545226.bin;1150;33142;8;3
kitti/Town01_Opt_CloudyNight_2629961523510558795.bin;1150;58714;10;4
kitti/Town01_Opt_CloudyNight_3988607319449332674.bin;1150;48781;9;4
kitti/Town01_Opt_CloudyNight_3847891468036409013.bin;1150;54590;10;4
kitti/Town01_Opt_CloudyNight_16238796828315910066.bin;1150;45211;9;3
kitti/Town01_Opt_CloudyNight_6027751067207392165.bin;1150;48198;9;5
kitti/Town01_Opt_CloudyNight_17346293778150908569.bin;1150;52703;11;4
